stat_region_id,stat_region_name,mun_id,mun_name,town_id,town_name
11,Goriška,1,Ajdovščina,1,Ajdovščina
11,Goriška,1,Ajdovščina,2,Batuje
11,Goriška,1,Ajdovščina,3,Bela
11,Goriška,1,Ajdovščina,4,Brje
11,Goriška,1,Ajdovščina,5,Budanje
11,Goriška,1,Ajdovščina,6,Cesta
11,Goriška,1,Ajdovščina,7,Col
11,Goriška,1,Ajdovščina,8,Črniče
11,Goriška,1,Ajdovščina,9,Dobravlje
11,Goriška,1,Ajdovščina,10,Dolenje
11,Goriška,1,Ajdovščina,11,Dolga Poljana
11,Goriška,136,Vipava,1,Duplje
11,Goriška,136,Vipava,2,Erzelj
11,Goriška,1,Ajdovščina,12,Gaberje
11,Goriška,136,Vipava,3,Goče
11,Goriška,1,Ajdovščina,13,Gojače
11,Goriška,1,Ajdovščina,14,Gozd
11,Goriška,136,Vipava,4,Gradišče pri Vipavi
11,Goriška,1,Ajdovščina,15,Grivče
11,Goriška,1,Ajdovščina,16,Kamnje
11,Goriška,1,Ajdovščina,17,Kovk
11,Goriška,1,Ajdovščina,19,Križna Gora
11,Goriška,1,Ajdovščina,20,Lokavec
11,Goriška,136,Vipava,6,Lozice
11,Goriška,136,Vipava,7,Lože
11,Goriška,1,Ajdovščina,21,Male Žablje
11,Goriška,1,Ajdovščina,22,Malo Polje
11,Goriška,136,Vipava,8,Manče
11,Goriška,136,Vipava,9,Nanos
11,Goriška,136,Vipava,10,Orehovica
11,Goriška,1,Ajdovščina,24,Otlica
11,Goriška,1,Ajdovščina,25,Plače
11,Goriška,1,Ajdovščina,26,Planina
11,Goriška,136,Vipava,11,Podbreg
11,Goriška,136,Vipava,12,Podgrič
11,Goriška,1,Ajdovščina,27,Podkraj
11,Goriška,136,Vipava,13,Podnanos
11,Goriška,136,Vipava,14,Podraga
11,Goriška,136,Vipava,15,Poreče
11,Goriška,1,Ajdovščina,29,Predmeja
11,Goriška,1,Ajdovščina,30,Ravne
11,Goriška,136,Vipava,16,Sanabor
11,Goriška,1,Ajdovščina,31,Selo
